Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Kiribati,2023-03-09,5014,18,0,0,4263.387922384913,0.35899481451934584
"Korea, North",2023-03-09,1,6,0,0,0.0038791542590301,600
"Korea, South",2023-03-09,30605187,34081,0,0,59695.09402948746,0.11135694090024674
Kosovo,2023-03-09,273291,3211,0,0,15095.897735596009,1.174938069676645
Kuwait,2023-03-09,663860,2570,0,0,15545.022986430597,0.3871298165275811
Kyrgyzstan,2023-03-09,206708,2991,0,0,3168.3315218699145,1.4469686707819729
Laos,2023-03-09,218023,758,0,0,2996.650702709181,0.3476697412658298
Latvia,2023-03-09,976228,6269,0,0,51756.28061045423,0.6421655596848277
Lebanon,2023-03-09,1232649,10840,0,0,18059.62163329496,0.8794068708934984
Lesotho,2023-03-09,34790,723,0,0,1623.9919486596348,2.0781833860304686
Liberia,2023-03-09,8090,295,0,0,159.95485674549798,3.646477132262052
Libya,2023-03-09,507187,6437,0,0,7381.251867372153,1.2691571353366706
Liechtenstein,2023-03-09,21432,89,0,0,56197.39360725804,0.4152668906308324
Lithuania,2023-03-09,1307448,9596,0,0,48027.48861161426,0.7339488836267293
Luxembourg,2023-03-09,317367,1220,0,0,50699.54758648894,0.38441299820082114
MS Zaandam,2023-03-09,9,2,0,0,NA,22.22222222222222
Madagascar,2023-03-09,67889,1423,0,0,245.1661313005491,2.0960685825391447
Malawi,2023-03-09,88707,2686,0,0,463.70731138677536,3.027945934368201
Malaysia,2023-03-09,5044439,36967,0,0,16058.24791376237,0.7101873391900292
Maldives,2023-03-09,185738,311,0,0,34361.437224119494,0.16744015764140888
Mali,2023-03-09,33061,743,0,0,163.2574737415753,2.2473609388705724
Malta,2023-03-09,117610,828,0,0,26636.37866643717,0.7040217668565598
Marshall Islands,2023-03-09,15649,17,0,0,26790.26928937052,0.10863313949773148
Mauritania,2023-03-09,63668,997,0,0,1369.304422258832,1.565935791920588
Mauritius,2023-03-09,296042,1044,0,0,23278.00611275493,0.35265266414900587
Mexico,2023-03-09,7479635,333170,0,0,6066.76612797844,4.901533823989912
Micronesia,2023-03-09,23948,61,0,0,21041.163291306068,0.2547185568732253
Moldova,2023-03-09,611140,12003,0,0,15173.461711303502,1.964034427463429
Monaco,2023-03-09,16121,67,0,0,41078.89104066864,0.4156069722721916
Mongolia,2023-03-09,1007900,2136,0,0,30744.668260179387,0.21192578628832223
Montenegro,2023-03-09,288752,2808,0,0,45975.07889348504,0.9724607968083336
Morocco,2023-03-09,1272490,16296,0,0,3447.4959712069376,1.280638747652241
Mozambique,2023-03-09,233214,2242,0,0,746.1550287174055,0.9613488041026697
Namibia,2023-03-09,171156,4090,0,0,6735.995995145058,2.38963284956414
Nauru,2023-03-09,5247,1,0,0,48430.86579287428,0.01905850962454736
Nepal,2023-03-09,1001150,12020,0,0,3436.0318398638587,1.200619287819008
Netherlands,2023-03-09,8712835,23707,0,0,45065.224565460776,0.3375013597190842
New Zealand,2023-03-09,2236113,2550,0,0,44806.52780457775,0.04759772597559754
Nicaragua,2023-03-09,15655,245,0,0,236.31779588482485,1.5649952091983392
Niger,2023-03-09,9508,315,0,0,39.27848545332776,3.312999579301641
Nigeria,2023-03-09,266598,3155,0,0,129.32887073262643,1.1834297331562875
North Macedonia,2023-03-09,346852,9662,0,0,16648.523073083164,2.7856261460219343
Norway,2023-03-09,1479453,5213,0,0,27289.927289724383,0.3523599600663218
Oman,2023-03-09,399449,4628,0,0,7822.176773608855,1.158595965943087
Pakistan,2023-03-09,1577338,30644,0,0,1715.4433536565898,1.7100074366974172
Palau,2023-03-09,5991,9,0,0,33268.54731230564,0.15022533800701052
Panama,2023-03-09,1031731,8609,0,0,23911.621667723502,0.8344229261309392
Papua New Guinea,2023-03-09,46825,670,0,0,523.3582060275442,1.430859583555793
Paraguay,2023-03-09,808401,19878,0,0,11334.000698209473,2.458928180445101
Peru,2023-03-09,4487553,219539,0,0,12076.85929887943,5.03003559855011
Philippines,2023-03-09,4077302,66176,0,0,3720.808203350058,1.6230340553630809
Poland,2023-03-09,6441501,118989,0,0,17020.023328380445,1.847224738457698
Portugal,2023-03-09,5570473,26266,0,0,54630.11735063094,0.4715218976916323
Qatar,2023-03-09,494982,688,0,0,17180.55160253518,0.13899495335183906
Romania,2023-03-09,3346046,67736,0,0,17393.18697543706,2.024359497747491
Russia,2023-03-09,22063473,388440,0,0,14908.688790074804,1.7638487987445708
Rwanda,2023-03-09,133194,1468,0,0,1028.3496815099263,1.1021517485772632
